ID,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,pH,pH,61,NA,8.07,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,5.5,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Sld Sus@105C,"Solids, Suspended at 105 C",135,NA,10,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Nitrate-N,Nitrate as N,117,NA,5.43,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Nitrite-N,Nitrite as N,118,NA,0.072,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.0024,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,89.6,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,TurbidityNTU,Turbidity,6396,NA,8.9,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.17,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Temp Water,Temperature of Water,76,NA,6.5,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Cond @ 25C,Conductivity at 25 C,77,NA,679,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,11,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3441553-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,17/01/2022 12:30,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.17,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Temp Water,Temperature of Water,76,NA,5.8,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Cond @ 25C,Conductivity at 25 C,77,NA,716,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.14,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,pH,pH,61,NA,8.02,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,88.7,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,6.1,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,TurbidityNTU,Turbidity,6396,NA,5.2,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Sld Sus@105C,"Solids, Suspended at 105 C",135,NA,8.9,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Nitrate-N,Nitrate as N,117,NA,6.05,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Nitrite-N,Nitrite as N,118,NA,0.053,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,11.1,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.19,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442210-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,25/01/2022 13:02,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00188,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Sld Sus@105C,"Solids, Suspended at 105 C",135,NA,6.9,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Nitrate-N,Nitrate as N,117,NA,5.96,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Nitrite-N,Nitrite as N,118,NA,0.044,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00126,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,92.8,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,TurbidityNTU,Turbidity,6396,NA,2.5,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.21,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Temp Water,Temperature of Water,76,NA,7.5,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Cond @ 25C,Conductivity at 25 C,77,NA,713,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,11.1,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.083,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
