ID,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,pH,pH,61,NA,8.07,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3442662-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,04/02/2022 09:21,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,6,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.1,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,pH,pH,61,NA,8.21,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,5.2,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Nitrate-N,Nitrate as N,117,NA,5.15,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Nitrite-N,Nitrite as N,118,NA,0.051,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00161,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.2,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Temp Water,Temperature of Water,76,NA,8.3,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,11.3,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,TurbidityNTU,Turbidity,6396,NA,2.4,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,96.2,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Cond @ 25C,Conductivity at 25 C,77,NA,696,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,87,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.3,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Temp Water,Temperature of Water,76,NA,15.6,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Cond @ 25C,Conductivity at 25 C,77,NA,674,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,8.63,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.055,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,pH,pH,61,NA,8,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Nitrite-N,Nitrite as N,118,NA,0.067,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Sld Sus@105C,"Solids, Suspended at 105 C",135,<,3,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00151,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,4.4,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,TurbidityNTU,Turbidity,6396,NA,2.4,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Nitrate-N,Nitrate as N,117,NA,4.33,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Ammonia(N),Ammoniacal Nitrogen as N,111,NA,0.092,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,pH,pH,61,NA,7.65,NA,phunits,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,103,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,N Oxidised,"Nitrogen, Total Oxidised as N",116,NA,7.6,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Sld Sus@105C,"Solids, Suspended at 105 C",135,NA,10,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Nitrite-N,Nitrite as N,118,NA,0.075,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Nitrate-N,Nitrate as N,117,NA,7.53,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Cond @ 25C,Conductivity at 25 C,77,NA,560,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Temp Water,Temperature of Water,76,NA,14.3,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00104,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,10.5,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3465449-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/10/2022 11:06,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.23,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
